SOM species
SPPA
SPAL
DISP
PHAU7
JURO
SCRO5
SCAM6
PAVA
SALA
POPU5
PAHE2
ALPH
SCCA11
IPSA
TYPHA
SPCY
ELEOC
LYLI2
TYLA
ECWA
LEHE
IVFR
SAPL
LUGR9
COES
TYDO
AVGE
SAST
ZIMI
AMAU
CLMA10
SALA2
THPA
HYUM
BAMA5
BAHA
BAMO
SYTE6
CYOD
ELMA5
PADI
NELU
ELCE
LEFU21
PADI6
CIMA2
SCDE6
MOCE2
BILA
